R;G;B;I;output
156;178;113;149;1
156;166;113;145;1
156;166;188;170;1
216;201;125;180.6666667;2
156;118;75;116.3333333;2
156;107;150;137.6666667;2
208;201;100;169.6666667;1
130;118;175;141;2
130;118;163;137;2
147;142;138;142.3333333;2
147;130;138;138.3333333;2
147;130;150;142.3333333;2
147;142;150;146.3333333;2
121;118;175;138;2
138;118;163;139.6666667;2
130;107;163;133.3333333;2
130;118;150;132.6666667;2
130;118;163;137;2
130;118;163;137;2
147;142;125;138;2
138;118;150;135.3333333;2
147;130;150;142.3333333;2
182;154;138;158;2
173;154;138;155;2
173;142;138;151;2
164;154;150;156;2
173;166;150;163;2
173;154;150;159;2
156;142;150;149.3333333;2
156;142;163;153.6666667;2
147;142;150;146.3333333;2
156;142;150;149.3333333;2
156;154;150;153.3333333;2
156;154;138;149.3333333;2
190;178;88;152;2
190;189;100;159.6666667;2
138;107;113;119.3333333;2
130;107;113;116.6666667;2
147;118;113;126;2
147;118;125;130;2
147;107;125;126.3333333;2
156;118;125;133;2
156;107;125;129.3333333;2
164;154;138;152;2
156;154;138;149.3333333;2
156;142;138;145.3333333;2
156;142;125;141;2
156;154;125;145;2
164;154;138;152;2
164;154;125;147.6666667;2
164;154;138;152;2
164;154;125;147.6666667;2
121;118;125;121.3333333;2
156;142;150;149.3333333;2
147;142;150;146.3333333;2
156;142;138;145.3333333;2
147;142;138;142.3333333;2
138;118;125;127;2
130;118;125;124.3333333;2
138;130;125;131;2
147;130;125;134;2
173;166;150;163;2
173;166;138;159;2
164;154;125;147.6666667;2
156;142;125;141;2
156;142;138;145.3333333;2
156;154;113;141;2
156;154;113;141;2
156;154;113;141;2
156;107;125;129.3333333;2
156;107;100;121;2
190;178;138;168.6666667;2
156;118;88;120.6666667;2
190;142;113;148.3333333;3
182;118;100;133.3333333;3
190;154;163;169;3
190;154;150;164.6666667;3
208;166;150;174.6666667;3
190;118;125;144.3333333;3
190;118;113;140.3333333;3
190;130;125;148.3333333;3
199;130;125;151.3333333;3
190;130;138;152.6666667;3
199;166;163;176;3
208;166;163;179;3
173;130;113;138.6666667;3
173;118;113;134.6666667;3
182;130;125;145.6666667;3
182;130;113;141.6666667;3
199;130;113;147.3333333;3
190;118;113;140.3333333;3
190;118;100;136;3
182;107;100;129.6666667;3
182;107;113;134;3
173;107;100;126.6666667;3
182;118;113;137.6666667;3
199;154;163;172;3
199;154;100;151;3
190;142;75;135.6666667;3
173;118;113;134.6666667;3
173;118;113;134.6666667;3
173;118;125;138.6666667;3
164;107;100;123.6666667;3
182;130;100;137.3333333;3
173;130;100;134.3333333;3
190;154;125;156.3333333;3
190;154;88;144;3
190;142;100;144;3
173;118;100;130.3333333;3
164;118;100;127.3333333;3
164;107;100;123.6666667;3
190;166;138;164.6666667;3
190;166;125;160.3333333;3
190;166;125;160.3333333;3
182;142;100;141.3333333;3
182;142;113;145.6666667;3
199;142;63;134.6666667;3
190;142;75;135.6666667;3
199;142;75;138.6666667;3
225;178;75;159.3333333;3
208;154;63;141.6666667;3
208;154;50;137.3333333;3
182;130;50;120.6666667;3
182;130;63;125;3
164;107;50;107;3
173;118;50;113.6666667;3
199;154;63;138.6666667;3
199;142;63;134.6666667;3
199;154;50;134.3333333;3
216;166;63;148.3333333;3
208;166;63;145.6666667;3
208;154;63;141.6666667;3
182;130;63;125;3
190;130;63;127.6666667;3
173;107;50;110;3
164;107;50;107;3
173;118;50;113.6666667;3
164;118;75;119;3
164;118;75;119;3
164;118;75;119;3
