I;H;S;output
137.3333333;0.704311337;0.63592233;3
120.6666667;0.645460187;0.585635359;3
125;0.596245948;0.496;3
107;0.523598776;0.53271028;3
113.6666667;0.584543967;0.560117302;3
138.6666667;0.716452011;0.545673077;3
134.6666667;0.616723535;0.532178218;3
134.3333333;0.748351549;0.627791563;3
148.3333333;0.720991597;0.575280899;3
145.6666667;0.761870109;0.567505721;3
141.6666667;0.669870451;0.555294118;3
125;0.596245948;0.496;3
127.6666667;0.555410496;0.506527415;3
110;0.481378738;0.545454545;3
107;0.523598776;0.53271028;3
113.6666667;0.584543967;0.560117302;3
119;0.504139987;0.369747899;3
119;0.504139987;0.369747899;3
119;0.504139987;0.369747899;3
