R;G;B;I;H;S;output
9;59;63;43.66666667;3.0750736;0.79389313;0
43;95;88;75.33333333;3.0172442;0.42920354;0
52;95;163;103.3333333;2.488685592;0.496774194;0
52;95;88;78.33333333;2.989308012;0.336170213;0
52;95;88;78.33333333;2.989308012;0.336170213;0
43;83;88;71.33333333;3.040057677;0.397196262;0
9;59;75;47.66666667;2.907084655;0.811188811;0
0;47;63;36.66666667;2.894793962;1;0
87;130;113;110;2.73825154;0.209090909;0
87;118;113;106;2.990811527;0.179245283;0
87;118;188;131;2.398643672;0.335877863;0
61;118;100;93;2.82757827;0.344086022;0
69;107;100;92;2.967653027;0.25;0
61;118;100;93;2.82757827;0.344086022;0
69;118;100;95.66666667;2.769987076;0.278745645;0
61;130;188;126.3333333;2.667958973;0.517150396;0
69;118;125;104;3.026631733;0.336538462;0
61;118;125;101.3333333;3.041724712;0.398026316;0
52;118;113;94.33333333;3.073507079;0.448763251;0
9;71;88;56;2.935722435;0.839285714;0
9;71;75;51.66666667;3.087518831;0.825806452;0
52;95;63;70;2.343166964;0.257142857;0
69;118;88;91.66666667;2.489103155;0.247272727;0
95;95;138;109.3333333;2.094395102;0.131097561;0
95;95;125;105;2.094395102;0.095238095;0
104;118;138;120;2.516458901;0.133333333;0
104;107;138;116.3333333;2.174166271;0.106017192;0
104;107;150;120.3333333;2.152712636;0.135734072;0
95;107;138;113.3333333;2.368213251;0.161764706;0
43;59;150;84;2.233455443;0.488095238;0
52;59;150;87;2.158457352;0.402298851;0
69;71;150;96.66666667;2.116042356;0.286206897;0
69;59;163;97;2.007139904;0.391752577;0
69;59;150;92.66666667;1.994032807;0.363309353;0
69;71;150;96.66666667;2.116042356;0.286206897;0
69;59;163;97;2.007139904;0.391752577;0
104;154;125;127.6666667;2.525879256;0.18537859;0
104;142;200;148.6666667;2.498287648;0.30044843;0
104;154;125;127.6666667;2.525879256;0.18537859;0
104;142;125;123.6666667;2.678692934;0.15902965;0
104;142;200;148.6666667;2.498287648;0.30044843;0
69;71;150;96.66666667;2.116042356;0.286206897;0
61;59;150;90;2.075152469;0.344444444;0
61;71;163;98.33333333;2.183439978;0.379661017;0
52;71;150;91;2.278222422;0.428571429;0
69;59;175;101;2.016532528;0.415841584;0
61;59;175;98.33333333;2.07933493;0.4;0
78;118;100;98.66666667;2.675664883;0.209459459;0
69;107;88;88;2.617993878;0.215909091;0
69;107;163;113;2.507884602;0.389380531;0
43;83;75;67;2.95146705;0.358208955;0
43;71;75;63;3.026631733;0.317460317;0
26;59;50;45;2.874638535;0.422222222;0
69;36;38;47.66666667;0.054073822;0.244755245;0
26;47;50;41;3.026631733;0.365853659;0
43;71;63;59;2.860557752;0.271186441;0
43;71;138;84;2.385270884;0.488095238;0
78;59;50;62.33333333;0.320252181;0.197860963;0
35;71;125;77;2.503032957;0.545454545;0
78;59;50;62.33333333;0.320252181;0.197860963;0
43;71;63;59;2.860557752;0.271186441;0
52;83;75;70;2.890411825;0.257142857;0
35;59;50;48;2.761341447;0.270833333;0
61;95;63;73;2.146833373;0.164383562;0
43;71;63;59;2.860557752;0.271186441;0
26;47;38;37;2.700286221;0.297297297;0
35;59;38;44;2.209356023;0.204545455;0
35;47;125;69;2.217487538;0.492753623;0
35;59;50;48;2.761341447;0.270833333;0
26;36;25;29;2.012102759;0.137931034;0
43;71;113;75.66666667;2.503032957;0.431718062;0
52;83;113;82.66666667;2.627458354;0.370967742;0
61;71;163;98.33333333;2.183439978;0.379661017;0
61;71;150;94;2.197130391;0.35106383;0
182;189;63;144.6666667;1.096644379;0.564516129;1
138;154;63;118.3333333;1.212616693;0.467605634;1
138;154;75;122.3333333;1.239935593;0.386920981;1
138;142;63;114.3333333;1.092155569;0.448979592;1
147;154;63;121.3333333;1.11636905;0.480769231;1
104;107;163;124.6666667;2.139548325;0.165775401;1
104;107;150;120.3333333;2.152712636;0.135734072;1
104;107;163;124.6666667;2.139548325;0.165775401;1
104;107;163;124.6666667;2.139548325;0.165775401;1
104;118;175;132.3333333;2.281619456;0.214105793;1
113;118;125;118.6666667;2.522064185;0.047752809;1
113;118;50;93.66666667;1.113210306;0.466192171;1
121;130;63;104.6666667;1.171264691;0.398089172;1
164;178;88;143.3333333;1.192248217;0.386046512;1
156;178;100;144.6666667;1.324250748;0.30875576;1
164;166;163;164.3333333;1.76092193;0.00811359;1
164;166;163;164.3333333;1.76092193;0.00811359;1
164;166;88;139.3333333;1.069687925;0.368421053;1
156;178;88;140.6666667;1.283850058;0.374407583;1
138;154;100;130.6666667;1.339778945;0.234693878;1
138;154;100;130.6666667;1.339778945;0.234693878;1
147;154;163;154.6666667;2.545949997;0.049568966;1
147;154;88;129.6666667;1.143889926;0.321336761;1
113;118;125;118.6666667;2.522064185;0.047752809;1
113;118;138;123;2.284520706;0.081300813;1
182;213;138;177.6666667;1.471054361;0.22326454;1
182;201;213;198.6666667;2.747632141;0.083892617;1
182;201;200;194.3333333;3.094814619;0.063464837;1
182;213;213;202.6666667;3.141592654;0.101973684;1
113;130;75;106;1.353823675;0.29245283;1
113;130;88;110.3333333;1.461264979;0.202416918;1
113;130;150;131;2.571215844;0.13740458;1
199;201;100;166.6666667;1.064516328;0.4;1
156;166;175;165.6666667;2.648371387;0.058350101;1
156;166;100;140.6666667;1.188226448;0.289099526;1
156;178;100;144.6666667;1.324250748;0.30875576;1
147;154;150;150.3333333;2.535701535;0.022172949;1
147;154;75;125.3333333;1.127319408;0.401595745;1
147;154;75;125.3333333;1.127319408;0.401595745;1
113;118;163;131.3333333;2.185304401;0.139593909;1
121;118;163;134;2.034740079;0.119402985;1
164;178;175;172.3333333;2.936664278;0.048355899;1
156;178;175;169.6666667;3.015529299;0.080550098;1
130;130;163;141;2.094395102;0.078014184;1
121;130;163;138;2.299323477;0.123188406;1
173;189;138;166.6666667;1.358932925;0.172;1
173;178;138;163;1.162158472;0.153374233;1
173;178;213;188;2.209356023;0.079787234;1
173;189;225;195.6666667;2.399481626;0.115843271;1
173;189;138;166.6666667;1.358932925;0.172;1
113;83;113;103;1.047197551;0.194174757;1
113;95;113;107;1.047197551;0.112149533;1
138;142;125;135;1.27415863;0.074074074;1
138;142;138;139.3333333;2.094395102;0.009569378;1
138;130;125;131;0.391144177;0.045801527;1
104;95;100;99.66666667;0.587661025;0.046822742;1
104;95;113;104;1.570796327;0.086538462;1
113;95;113;107;1.047197551;0.112149533;1
121;107;100;109.3333333;0.333473172;0.085365854;1
121;118;100;113;0.914742953;0.115044248;1
138;142;63;114.3333333;1.092155569;0.448979592;1
138;142;63;114.3333333;1.092155569;0.448979592;1
130;142;63;111.6666667;1.188607706;0.435820896;1
138;142;138;139.3333333;2.094395102;0.009569378;1
138;130;163;143.6666667;1.859887104;0.09512761;2
138;130;150;139.3333333;1.685757247;0.066985646;2
147;130;138;138.3333333;0.489650043;0.060240964;1
164;166;150;160;1.162158472;0.0625;1
182;189;163;178;1.310378156;0.084269663;1
182;189;175;182;1.570796327;0.038461538;1
182;189;150;173.6666667;1.216331683;0.136276392;1
182;201;188;190.3333333;2.408409486;0.043782837;1
173;201;188;187.3333333;2.659209828;0.076512456;1
190;201;188;193;1.951047533;0.025906736;1
199;225;200;208;2.128343835;0.043269231;1
182;201;188;190.3333333;2.408409486;0.043782837;1
87;95;138;106.6666667;2.240749695;0.184375;1
87;95;150;110.6666667;2.211286958;0.213855422;1
199;213;138;183.3333333;1.223642722;0.247272727;1
199;201;138;179.3333333;1.07512659;0.230483271;1
104;107;175;128.6666667;2.131760095;0.191709845;1
104;107;188;133;2.125876531;0.218045113;1
113;118;188;139.6666667;2.154050126;0.190930788;1
156;178;100;144.6666667;1.324250748;0.30875576;1
156;178;175;169.6666667;3.015529299;0.080550098;1
147;178;88;137.6666667;1.393071406;0.360774818;1
173;178;75;142;1.09025676;0.471830986;1
173;178;88;146.3333333;1.096644379;0.398633257;1
173;178;163;171.3333333;1.380670723;0.048638132;1
190;189;88;155.6666667;1.038665488;0.434689507;1
147;154;125;142;1.280597392;0.11971831;1
147;154;125;142;1.280597392;0.11971831;1
147;154;113;138;1.207469082;0.18115942;1
164;166;138;156;1.1112598;0.115384615;1
121;95;150;122;1.602277755;0.221311475;1
121;118;138;125.6666667;1.954871027;0.061007958;1
130;130;63;107.6666667;1.047197551;0.414860681;1
138;142;63;114.3333333;1.092155569;0.448979592;1
130;142;63;111.6666667;1.188607706;0.435820896;1
130;130;138;132.6666667;2.094395102;0.020100503;1
156;178;113;149;1.386387;0.241610738;1
156;166;113;145;1.225699176;0.220689655;1
